StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_5_TEXT,Q3,Q4,Q4_7_TEXT,Q5,Q5_5_TEXT,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2,Q18_3,Q18_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Hello!

The purpose of this study is to assess stress and coping strategies among nursing students in different semesters of nursing school. This survey should take no longer than 15-20 minutes to complete. There are no right or wrong answers and your answers are completely anonymous. Thank you for your participation in advance. 

Remember, your participation is voluntary. You may refuse to participate or answer any question. You may stop at any time without penalty. By clicking ""I agree"" and proceeding to complete the survey, you are giving your consent to participate.",What gender do you identify as? - Selected Choice,What gender do you identify as? - Other: - Text,What is your age?,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other: - Text,Marital Status? - Selected Choice,Marital Status? - Other: - Text,Have you previously obtained another college degree?,What degree did you obtain?,Are you enrolled in the four-semester nursing program or the five-semester nursing program?,What semester of nursing school are you currently in?,"This semester, how often have you... - Felt inexperienced in your ability to provide nursing care and make judgements","This semester, how often have you... - Felt unable to meet one's expectations in the clinical setting","This semester, how often have you... - Felt unable to provide good nursing care or education","This semester, how often have you... - Felt unable to effectively communicate with patients or their families","This semester, how often have you... - Worried about your grades in your classes","This semester, how often have you... - Felt like your workload was too much to handle","This semester, how often have you... - Experienced pressure from the fear of not meeting academic expectations from others (parents, teachers, etc.) or yourself","This semester, how often have you... - Felt like you could catch up on assignments if you fell behind","This semester, how often have you... - Felt confident in your abilities to complete learned nursing skills in the clinical setting","This semester, how often have you... - Understood nursing diagnosis and treatments","This semester, how often have you... - Felt prepared to practice independently as a nurse","This semester, how often have you... - Felt stressed or unprepared in the hospital or clinical setting","This semester, how often have you... - Felt unfamiliar with hospital facilities/procedures","This semester, how often have you... - Felt uncomfortable working with a nurse","This semester, how often have you... - Had a hard time going to sleep because you were nervous about your clinical assignment the next day","This semester, how often have you... - Experienced competition with your peers in class or clinical practice","This semester, how often have you... - Felt disconnected to others in your cohort","This semester, how often have you... - Felt comparison among peers regarding nursing abilities or knowledge","This semester, how often have you... - Felt your role as a nursing student overshadowed your life and responsibilities outside nursing school","This semester, how often have you... - Felt that you were unable to approach instructors or other nursing staff about questions or concerns","This semester, how often have you... - Felt that your professors were unfair in their grading or evaluation of students","This semester, how often have you... - Felt that professors or other nursing staff lacked empathy or were unwilling to help","This semester, how often have you... - Felt that professors haven't adequately prepared you for your nursing career","This semester, how often have you... - Avoided practicing skills in clinical due to feeling inadequate or inexperienced","This semester, how often have you... - Avoided asking professors questions due to the belief that it wouldn't help","This semester, how often have you... - Avoided talking with peers about grades or class work due to comparison","This semester, how often have you... - Avoided a situation with the hope that things would resolve on their own","This semester, how often have you... - Put off working on an assignment or project until later because the thought of it was too overwhelming","This semester, how often have you... - Tried different strategies to help manage stress","This semester, how often have you... - Made lists, set priorities, or created objectives to help conquer your workload","This semester, how often have you... - Employed past useful strategies to help manage current stress","This semester, how often have you... - Been unsure of what to do to help control your stress","This semester, how often have you... - Remained positive during stress or a stressful situation","This semester, how often have you... - Felt confident that you would overcome your present difficulties","This semester, how often have you... - Reminded yourself of your goals or what you are working towards","This semester, how often have you... - Cried, felt moody, sad, or helpless","This semester, how often have you... - Slept when feeling stressed or overwhelmed","This semester, how often have you... - Watched Tv or a movie when feeling stressed or overwhelmed","This semester, how often have you... - Exercised when feeling stressed or overwhelmed","This semester, how often have you... - Ate comfort foods when feeling stressed or overwhelmed","This semester, how often have you... - Did an activity that you enjoyed when feeling stressed or overwhelmed","This semester, how often have you... - Confided in others when feeling stressed or overwhelmed"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_5_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_7_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}"
2024-03-25 08:37:30,2024-03-25 08:40:35,IP Address,35.148.147.120,100,185,True,2024-03-25 08:40:35,R_2PbSPZTlsDJGMmo,,,,,34.3914,-77.6597,anonymous,EN,I agree,Male,,25-34,Latino or Hispanic,,Married,,No,,Four-semester,1st,Never,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Frequently,Frequently,Frequently,Rarely,Sometimes,Rarely,Never,Frequently,Sometimes,Frequently,Sometimes,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Rarely,Frequently,Always,Never,Frequently,Always,Always,Never,Always,Rarely,Frequently,Never,Frequently,Rarely
2024-03-25 08:37:40,2024-03-25 08:40:49,IP Address,152.20.180.2,100,188,True,2024-03-25 08:40:50,R_7DpYAKrdiAsKdlW,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Always,Rarely,Rarely,Rarely,Never,Sometimes,Frequently,Frequently,Always,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Frequently,Frequently,Sometimes,Sometimes,Frequently,Rarely,Never
2024-03-25 08:37:30,2024-03-25 08:41:23,IP Address,152.20.104.253,100,233,True,2024-03-25 08:41:23,R_5OZw8cQEI1DKrJq,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Frequently,Frequently,Sometimes,Frequently,Rarely,Rarely,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Rarely,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,Always
2024-03-25 08:45:15,2024-03-25 08:47:46,IP Address,152.20.104.1,100,150,True,2024-03-25 08:47:46,R_14Pw3yGYPvAiGu5,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Frequently,Sometimes,Rarely,Sometimes,Always,Always,Sometimes,Rarely,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Always,Sometimes,Never,Never,Frequently,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Frequently,Always,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Never,Never,Sometimes,Frequently,Frequently,Always
2024-03-25 08:45:53,2024-03-25 08:48:33,IP Address,172.59.218.88,100,159,True,2024-03-25 08:48:33,R_1K8dScGwTHCvLYn,,,,,35.2296,-80.843,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,2nd,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Rarely,Frequently,Frequently,Rarely,Frequently,Frequently,Sometimes,Frequently,Rarely,Rarely,Sometimes,Always,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Frequently,Always,Always,Sometimes,Frequently,Frequently,Always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Always
2024-03-25 08:57:35,2024-03-25 09:01:18,IP Address,152.20.104.1,100,222,True,2024-03-25 09:01:19,R_2plpxcvS5lnQ1eG,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,3rd,Sometimes,Sometimes,Sometimes,Sometimes,Always,Frequently,Frequently,Rarely,Sometimes,Frequently,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Frequently,Sometimes,Frequently
2024-03-25 09:11:36,2024-03-25 09:17:13,IP Address,152.20.180.2,100,337,True,2024-03-25 09:17:14,R_7ru25lw0riYnRh7,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Sometimes,Sometimes,Rarely,Frequently,Rarely,Rarely,Rarely,Rarely,Frequently,Sometimes,Never,Frequently,Frequently,Rarely,Always,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Never,Rarely,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Never,Frequently,Sometimes,Sometimes,Sometimes,Frequently
2024-03-25 09:36:35,2024-03-25 09:40:20,IP Address,70.63.75.99,100,224,True,2024-03-25 09:40:20,R_1upuHBloz8pvTZ8,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,5th,Sometimes,Rarely,Rarely,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Frequently,Frequently
2024-03-25 09:41:15,2024-03-25 09:46:42,IP Address,152.20.104.1,100,326,True,2024-03-25 09:46:42,R_5sJJLu1xUd9Rke5,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Asian,,Single,,No,,Four-semester,2nd,Sometimes,Rarely,Sometimes,Rarely,Always,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Frequently,Never,Never,Never,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Frequently,Always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Rarely,Rarely,Sometimes,Frequently
2024-03-25 09:48:28,2024-03-25 09:53:01,IP Address,152.20.103.1,100,272,True,2024-03-25 09:53:02,R_2CEqWuoPFxPMtqH,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,2nd,Always,Frequently,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Always,Always,Frequently,Frequently,Rarely,Never,Rarely,Always,Rarely,Never,Sometimes,Frequently,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Always,Rarely,Sometimes,Sometimes,Sometimes,Always,Frequently,Frequently,Never,Frequently,Sometimes,Sometimes,Frequently
2024-03-25 09:50:53,2024-03-25 09:54:36,IP Address,174.110.97.49,100,222,True,2024-03-25 09:54:36,R_5lJRpNHWRNJ7y18,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Sometimes,Sometimes,Sometimes,Rarely,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Rarely
2024-03-25 09:48:56,2024-03-25 09:58:14,IP Address,104.28.32.199,100,557,True,2024-03-25 09:58:14,R_3bZUlNraGY1BOdY,,,,,33.7153,-84.3312,anonymous,EN,I agree,Female,,18-24,Latino or Hispanic,,Single,,No,,Four-semester,1st,Sometimes,Rarely,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Rarely,Never,Frequently,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Frequently,Sometimes,Always,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Rarely,Frequently,Sometimes,Sometimes,Frequently,Frequently
2024-03-25 09:58:19,2024-03-25 10:02:54,IP Address,152.20.104.253,100,275,True,2024-03-25 10:02:55,R_3CXRMLB8hKN6y6B,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Sometimes,Never,Never,Never,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Always,Rarely,Rarely,Never,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Frequently,Always,Always,Sometimes,Frequently,Frequently,Frequently,Sometimes,Rarely,Sometimes,Always,Always,Frequently,Never
2024-03-25 11:00:31,2024-03-25 11:05:27,IP Address,172.59.218.114,100,295,True,2024-03-25 11:05:27,R_715OELPpaQcNbTe,,,,,35.2296,-80.843,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,5th,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Always,Frequently,Frequently,Sometimes,Rarely,Sometimes,Rarely,Frequently,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Frequently,Never,Rarely,Frequently,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Always
2024-03-25 09:40:40,2024-03-25 11:06:26,IP Address,152.20.104.1,100,5146,True,2024-03-25 11:06:27,R_7M4ippukS08z7W2,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,Yes,"Assocaites in Arts & Associates in Science ",Four-semester,2nd,Rarely,Never,Never,Never,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Rarely,Never,Frequently,Sometimes,Rarely,Never,Never,Frequently,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Always,Always,Always,Rarely,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Always
2024-03-25 11:33:35,2024-03-25 11:40:10,IP Address,173.93.49.86,100,395,True,2024-03-25 11:40:10,R_6OCXIgFqRXEnkxc,,,,,34.1632,-77.8723,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,5th,Sometimes,Rarely,Rarely,Rarely,Always,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Always,Always,Rarely,Frequently,Always,Always,Sometimes,Sometimes,Always,Rarely,Frequently,Frequently,Frequently
